Bed_Number,beds_1A,gsize_1A,amal_1A,beds_1B,gsize_1B,amal_1B,beds_1C,gsize_1C,amal_1C,beds_2A,gsize_2A,amal_2A,beds_3A,gsize_3A,amal_3A,beds_3B,gsize_3B,amal_3B,beds_4A,gsize_4A,amal_4A
1,25,2,1,39,2,0,62,4,0,60,2,0,5,3,0,3.5,3,0,32,1,0
2,8,2,1,80,5,1,15,5,0,12,4,0,7,1,0,4,1,0,34,2,0
3,24,3,0,24,4,1,36,1,0,4,2,0,4,3,0,2.5,3,0,99,1,0
4,8,2,0,1,1,0,49,4,0,33,4,1,4,1,0,7,4,0,15,3,1
5,15,3,1,10,2,0,9,2,0,40,4,1,2,3,1,4,5,0,8,3,1
6,24,3,1,9,1,0,10,4,0,20,3,0,5,3,1,5,1,0,8,3,1
7,28,2,0,81,4,0,4,1,0,61,3,0,6,3,1,5,5,0,6,3,1
8,22,3,0,9,1,0,19,4,0,8,2,0,2,1,0,10,1,0,13,3,1
9,52,2,1,39,4,1,10,2,0,103,3,0,10,3,0,2,4,0,30,10,0
10,8,2,1,26,4,1,27,4,1,45,6,1,0.5,1,0,48,1,0,20,10,0
11,10,4,0,63,5,0,25,4,1,30,7,1,8,3,0,5,4,0,30,5,0
12,46,2,0,9,1,0,5,2,0,10,1,0,0.5,1,0,0.5,1,0,20,1,0
13,20,3,0,24,2,0,6,3,0,29,5,1,7,3,0,17,5,1,85,10,0
14,40,2,0,35,3,0,8,2,0,19,5,1,0.5,1,0,12,5,1,93,5,0
15,40,4,0,12,1,0,17,4,1,8,5,1,6,3,0,5,1,0,15,1,0
16,25,2,0,,,,13,4,1,25,4,1,20,2,0,7,4,0,15,6,0
17,75,2,0,,,,33,4,1,6,2,0,5,4,0,36,1,0,15,3,0
18,14,2,0,,,,70,3,0,2,1,0,3,1,0,3,4,1,68,2,0
19,13,3,0,,,,65,2,0,7,4,0,7,4,0,2,4,1,8,4,0
20,12,2,0,,,,12,4,1,17,1,0,11,2,0,5,4,1,25,2,0
21,19,2,0,,,,10,4,1,5,6,0,4,3,0,3,4,1,2,4,0
22,11,2,0,,,,54,2,0,6,1,0,9,2,0,6,4,1,20,2,0
23,65,2,0,,,,17,4,1,7,3,0,7,3,0,39,1,0,6,5,0
24,9,4,0,,,,24,4,1,6,1,0,45,1,0,7,5,0,50,1,0
25,5,1,0,,,,35,4,1,5,2,0,5,3,0,10,1,0,46,5,1
26,12,3,0,,,,32,3,0,55,2,0,3,3,0,5,3,0,26,5,1
27,900,2,0,,,,35,4,1,,,,1,1,0,4,1,0,41,2,0
28,,,,,,,37,4,1,,,,2,3,0,3,3,0,19,5,0
29,,,,,,,26,4,1,,,,16,2,0,2,1,0,50,2,0
30,,,,,,,31,2,0,,,,6,3,0,2,3,0,20,3,0
31,,,,,,,39,4,0,,,,8,2,0,15,1,0,15,1,0
32,,,,,,,12,2,0,,,,4,3,0,3,3,0,15,3,0
33,,,,,,,5,3,0,,,,5,2,0,43,1,0,16,1,0
34,,,,,,,5,2,0,,,,4,3,0,3,2,0,2,4,0
35,,,,,,,25,4,0,,,,2,2,0,145,1,0,18,3,1
