Log,Strike,Dip,Dip_D
2A,128,30,N
2B,104,32,N
3A,116,20,N
3A,110,28,N
3A,140,36,N
3A,120,30,N
3A,122,38,N
3A,130,42,N
3A,108,44,N
3A,116,46,N
3B,166,30,E
3A,117,40,N
3A,104,70,N
3A,114,35,N
3A,120,32,N
3A,125,34,N
3A,108,28,N
3A,118,20,N
3A,122,23,N
3A,122,22,N
3A,135,26,N
3A,120,22,N
3A,128,24,N
3A,121,20,N
4A,220,20,S
4A,280,36,S
4A,266,20,S
4A,280,16,S
4A,252,16,S
4A,280,12,S
4A,248,12,S
5CU,292,34,S
5CU,320,30,S
5CU,294,28,S
5CU,296,24,S
5CU,288,26,S
5CU,296,34,S
5CL,278,30,S
5CL,290,36,S
5CL,282,38,S
5CL,298,42,S
5CL,274,42,S
5CL,270,36,S
9A,126,20,N
9A,152,22,N
9A,140,18,N
9A,107,28,N
9A,140,20,N
12A,134,20,N
12A,128,16,N
12A,142,16,N
12A,112,22,N
12A,130,18,N
13A,310,8,S
13A,322,16,S
13A,350,20,S
13A,330,10,S
13A,324,12,S
