Bed_Number,beds_1A,gsize_1A,facies_1A,lith_1A,amal_1A,beds_1B,gsize_1B,facies_1B,lith_1B,amal_1B,beds_1C,gsize_1C,facies_1C,lith_1C,amal_1C,beds_2A,gsize_2A,facies_2A,lith_2A,amal_2A,beds_3A,gsize_3A,facies_3A,lith_3A,amal_3A,beds_3B,gsize_3B,facies_3B,lith_3B,amal_3B,beds_4A,gsize_4A,facies_4A,lith_4A,amal_4A,beds_5A,gsize_5A,facies_5A,lith_5A,amal_5A,beds_5B,gsize_5B,facies_5B,lith_5B,amal_5B,beds_5C,gsize_5C,facies_5C,lith_5C,amal_5C,beds_6A,gsize_6A,facies_6A,lith_6A,amal_6A,beds_7A,gsize_7A,facies_7A,lith_7A,amal_7A,beds_7B,gsize_7B,facies_7B,lith_7B,amal_7B,beds_7C,gsize_7C,facies_7C,lith_7C,amal_7C,beds_7D,gsize_7D,facies_7D,lith_7D,amal_7D,beds_8A,gsize_8A,facies_8A,lith_8A,amal_8A,beds_8B,gsize_8B,facies_8B,lith_8B,amal_8B,beds_8C,gsize_8C,facies_8C,lith_8C,amal_8C,beds_9A,gsize_9A,facies_9A,lith_9A,amal_9A,beds_10A,gsize_10A,facies_10A,lith_10A,amal_10A,beds_11A,gsize_11A,facies_11A,lith_11A,amal_11A,beds_12A,gsize_12A,facies_12A,lith_12A,amal_12A,beds_13A,gsize_13A,facies_13A,lith_13A,amal_13A,beds_13B,gsize_13B,facies_13B,lith_13B,amal_13B
1,,,,,,,,,,,62,4,4,1,0,,,,,,5,3,3,1,0,3.5,3,3,1,0,,,,,,190,3,7,2,0,16,6,2,2,0,,,,,,137,5,7,2,1,18,8,4,2,,16,3,4,1,,295,8,7,2,1,3.5,3,3,2,,,,,,,9,5,3,2,,,,,,,27,7,7,2,0,5,3,3,1,,53,3,6,2,,12,6,4,2,,16,5,4,1,1,73,8,7,2,1
2,,,,,,80,5,5,1,1,15,5,6,1,0,12,4,4,1,0,,,,,,,,,,,,,,,,62,7,5,2,0,6,6,3,2,0,6,5,3,2,0,35,5,7,2,1,,,,,,,,,,,64,8,5,2,1,,,,,,15,3,4,2,1,,,,,,4,5,6,2,,194,8,7,2,0,,,,,,,,,,,,,,,,18,6,2,2,1,92,8,7,2,1
3,24,3,4,1,0,24,4,4,1,1,,,,,,,,,,,4,3,3,1,0,2.5,3,3,1,0,,,,,,58,7,5,2,0,,,,,,,,,,,,,,,,4,7,3,2,,13.5,4,4,1,,30,8,7,2,1,3,3,3,2,,17,3,4,2,1,13,5,3,2,,,,,,,,,,,,6,3,3,1,,10,7,3,2,,4.5,3,3,1,1,267,8,7,2,,70,6,5,2,1
4,,,,,,,,,,,49,4,4,1,0,33,4,4,1,1,,,,,,7,4,3,1,0,15,3,4,1,1,26,5,5,2,0,18,7,2,2,0,2,3,3,1,0,80,5,7,2,1,,,,,,,,,,,3,8,3,2,,,,,,,6,4,3,2,1,,,,,,13,5,3,2,1,2,6,3,2,0,,,,,,,,,,,14,3,4,1,1,,,,,,135,8,7,2,1
5,15,3,4,1,1,,,,,,,,,,,40,4,4,1,1,2,3,3,1,1,4,5,3,1,0,8,3,3,1,1,102,5,7,2,0,7,7,3,2,1,,,,,,7,5,7,2,1,4,6,3,2,,2,5,3,2,,,,,,,3.5,5,3,2,1,10,5,3,2,1,17,5,3,2,1,10,4,4,2,1,,,,,,15,3,4,1,,1,3,3,1,1,,,,,,5,6,3,2,,65,8,7,2,1
6,24,3,4,1,1,,,,,,10,4,4,1,0,20,3,6,1,0,5,3,3,1,1,,,,,,8,3,3,1,1,11,5,4,2,1,8,7,3,2,1,4,3,3,1,0,,,,,,,,,,,,,,,,48,7,2,2,,3,3,3,1,1,14,3,4,2,1,6,6,3,2,1,,,,,,7.5,6,3,2,0,,,,,,0.5,3,3,1,1,11,6,2,2,,,,,,,103,8,7,2,1
7,,,,,,81,4,5,1,0,,,,,,61,3,4,1,0,6,3,3,1,1,5,5,3,1,0,6,3,3,1,1,21,5,4,2,1,,,,,,,,,,,12,5,4,2,,5,5,3,2,,7,5,3,2,,,,,,,2,3,3,1,1,68,5,4,2,1,,,,,,3,5,3,2,,,,,,,11,4,4,1,1,2,6,3,2,,,,,,,12,3,4,1,1,39,8,2,2,
8,22,3,4,1,0,,,,,,19,4,4,1,0,,,,,,,,,,,,,,,,13,3,4,1,1,15,5,4,2,1,14,6,4,2,0,10,5,4,2,0,,,,,,,,,,,,,,,,19.5,8,4,2,1,,,,,,15,5,4,2,1,2,4,3,2,1,,,,,,1,4,3,1,0,2,6,3,2,1,,,,,,2,3,3,1,,2,5,3,2,1,86,7,7,2,1
9,,,,,,39,4,4,1,1,,,,,,103,3,6,2,0,10,3,4,1,0,2,4,3,1,0,30,8,6,1,0,18,5,4,2,1,20,7,4,2,0,7,3,3,1,0,17,5,2,2,,0.5,6,3,2,,2.5,5,3,2,,15,7,4,2,1,4.5,3,3,2,,,,,,,7,3,3,2,1,2.5,5,3,2,,,,,,,,,,,,2,5,3,2,1,,,,,,10,3,4,1,1,50,8,7,2,1
10,,,,,,26,4,4,1,1,27,4,4,1,1,45,6,4,2,1,,,,,,,,,,,20,8,6,1,0,16,5,4,2,1,19,7,4,2,0,,,,,,3,6,2,2,1,,,,,,,,,,,30,7,7,2,1,,,,,,13,4,4,2,1,29,5,5,2,1,,,,,,1.5,6,3,2,0,4,5,3,2,,1,5,3,2,1,3,3,3,1,,0.5,4,3,1,1,,,,,
