beds_3A,gsize_3A,beds_4A,gsize_4A,beds_5C,gsize_5C
5,3,32,1,26,2
7,1,34,2,6,5
4,3,99,1,16,1
4,1,15,3,2,3
2,3,8,3,3,1
5,3,8,3,4,3
6,3,6,3,16,1
2,1,13,3,10,5
10,3,30,10,7,3
0.5,1,20,10,107,2
8,3,30,5,11,2
0.5,1,20,1,6,2
7,3,85,10,5,3
0.5,1,93,5,37,2
6,3,15,1,4,5
20,2,15,6,7,5
5,4,15,3,40,2
3,1,68,2,5,3
7,4,8,4,1,1
11,2,25,2,2,3
4,3,2,4,8,2
9,2,20,2,7,4
7,3,6,5,4,1
45,1,50,1,19,5
5,3,46,5,29,2
3,3,26,5,25,3
1,1,41,2,54,2
2,3,19,5,6,3
16,2,50,2,35,1
6,3,20,3,9,2
8,2,15,1,5,5
4,3,15,3,5,1
5,2,16,1,4,4
4,3,2,4,3,2
2,2,18,3,14,5
4,3,15,3,80,2
2,3,3,2,5,5
350,1,26,3,62,2
9,3,5,2,3,4
78,1,3,6,7,4
10,3,8,1,3,2
38,1,21,3,4,3
14,3,5,4,5,3
27,2,10,3,42,1
150,1,27,3,13,3
13,3,10,4,6,5
4,2,24,3,7,2
21,3,3,4,5,4
21,4,16,2,18,4
150,1,14,3,3,2
107,4,9,3,2,3
32,2,5,3,3,1
6,3,10,3,3,4
12,3,9,2,83,1
13,3,11,3,6,4
2,1,2,2,12,4
2,4,13,3,32,2
18,2,28,2,6,4
12,4,8,3,6,4
36,4,52,2,19,2
23,4,6,6,4,5
1,1,20,3,5,2
14,3,9,5,8,5
2,1,76,4,8,2
5,3,18,4,5,4
1,1,14,4,30,1
11,3,8,4,4,4
10,3,2,2,6,1
12,4,8,3,3,3
9,4,11,2,27,1
193,2,22,2,2,3
33,3,13,3,55,1
24,3,11,4,2,5
2,1,4,3,3,1
12,4,6,3,3,5
2,1,1,2,6,1
20,3,12,3,2,4
47,7,3,4,7,1
32,3,7,4,7,4
1,4,24,2,33,2
10,2,9,3,6,3
1,4,8,3,350,3
26,3,9,3,53,1
20,1,3,1,6,3
95,2,10,3,32,2
11,3,16,3,2,4
9,1,6,6,56,2
8,3,4,6,6,4
1,5,35,2,35,2
6,3,26,4,54,5
1,5,20,5,110,2
8,3,7,3,15,4
2,5,65,1,69,2
7,3,25,3,17,8
1,5,27,3,86,2
61,1,3,6,40,8
20,3,20,3,65,2
2,5,15,2,4,8
81,1,40,1,125,2
6,3,11,10,24,3
3,5,13,10,2,1
45,2,4,5,7,3
13,3,5,6,8,3
44,2,21,3,15,3
6,3,24,2,34,2
2,5,16,3,6,6
37,3,5,4,20,2
122,2,20,3,5,6
1,6,10,2,20,2
1,1,13,3,8,5
6,5,14,3,9,5
35,1,4,6,7,5
11,3,21,3,7,4
11,1,22,2,58,1
5,6,16,3,8,6
25,3,22,3,38,1
2,4,10,3,5,5
22,3,20,4,7,1
280,2,200,1,6,5
13,5,15,2,11,1
58,2,17,5,6,5
1,5,35,5,44,3
67,1,18,4,,
4,6,8,4,,
63,1,3,6,,
63,3,62,2,,
52,1,20,3,,
8,3,15,3,,
28,1,13,1,,
5,3,16,10,,
19,1,7,6,,
1,5,52,2,,
16,3,6,3,,
