Log_Cen,PC,Strike,Dip,Direction,,,,,
3A,290,220,33,N,,,,,
3A,294,220,33,N,,,,,
4A,188,220,20,S,,,,,
4A,114,266,20,S,,,,,
4A,300,280,16,S,,,,,
3A,276,220,33,W,,,,,
3A,270,220,33,W,,,,,
3A,266,220,33,W,,,,,
3A,250,220,33,W,,,,,
3A,288,220,33,W,,,,,
3A,279,220,33,W,,,,,
3A,252,220,33,W,,,,,
3A,10,220,33,N,,,,,
3A,330,220,33,N,,,,,
3A,198,220,33,S,,,,,
3A,210,220,33,S,,,,,
3A,230,220,33,W,,,,,
3A,70,220,33,E,,,,,
3A,200,220,33,S,,,,,
3A,214,220,33,S,,,,,
3A,260,220,33,W,,,,,
3A,190,220,33,S,,,,,
3A,22,220,33,N,,,,,
3A,210,220,33,W,,,,,
3A,250,220,33,W,,,,,
3A,300,220,33,W,,,,,
3A,230,220,33,W,,,,,
3A,290,220,33,W,,,,,
3A,310,220,33,W,,,,,
4A,210,266,20,S,,,,,
4A,310,266,20,W,,,,,
4A,218,266,20,W,,,,,
4A,222,266,20,W,,,,,
